Metagenome	bin	contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
A1	bin.unbinned	NODE_5460_length_11473_cov_21.164565||full	0.993	dsDNAphage	11471	4	37.5	6.2	11471	No	NA	16	7	0	Low-quality	Genome-fragment	16.26	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_8757_length_11471_cov_4.797127||full	0.927	dsDNAphage	11471	2	25	10	11471	No	NA	21	4	0	Low-quality	Genome-fragment	28.38	AAI-based (medium-confidence)	0	1	NA
B2	bin.042	NODE_8756_length_11471_cov_5.103802||full	0.973	dsDNAphage	11467	1	38.5	7.7	11467	No	NA	13	1	1	Low-quality	Genome-fragment	17	HMM-based (lower-bound)	0	1	NA
A1	bin.023	NODE_5465_length_11467_cov_4.269278||full	0.58	dsDNAphage	11466	0	13.3	6.7	11466	Yes	7185	18	2	2	Low-quality	Genome-fragment	6.4	HMM-based (lower-bound)	37.34	1	NA
B2	bin.125	NODE_8604_length_11589_cov_5.767383||full	0.88	dsDNAphage	11459	0	30	0	11459	No	NA	20	3	0	Low-quality	Genome-fragment	11.65	AAI-based (high-confidence)	0	1	NA
B1	bin.015	NODE_930_length_11457_cov_6.323101||full	0.533	dsDNAphage	11455	0	80	20	11455	No	NA	5	0	5	Not-determined	Genome-fragment	NA	NA	0	1.04	no viral genes detected
B1	bin.001	NODE_927_length_11469_cov_4.506834||full	0.98	dsDNAphage	11455	0	25	3.6	11455	No	NA	28	2	0	Low-quality	Genome-fragment	6.05	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8797_length_11439_cov_4.796030||full	0.667	dsDNAphage	11439	0	41.7	0	11439	No	NA	10	2	0	Low-quality	Genome-fragment	22.72	AAI-based (high-confidence)	0	1	NA
A3	bin.098	NODE_5859_length_11441_cov_6.781047||full	0.993	dsDNAphage	11438	2	28.6	0	11438	No	NA	14	3	0	Low-quality	Genome-fragment	16.45	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_9833_length_11772_cov_5.300930||full	0.967	dsDNAphage	11438	0	20.7	0	11438	No	NA	29	4	0	Low-quality	Genome-fragment	6	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_5862_length_11438_cov_3.142581||full	0.547	dsDNAphage	11436	0	23.5	0	11436	No	NA	17	1	0	Low-quality	Genome-fragment	5.34	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_5818_length_11480_cov_7.642626||full	0.993	dsDNAphage	11435	1	18.8	0	11435	No	NA	32	2	0	Low-quality	Genome-fragment	26.52	AAI-based (medium-confidence)	0	1	NA
A1	bin.023	NODE_5488_length_11434_cov_3.669039||full	0.7	dsDNAphage	11431	2	37.5	25	11431	No	NA	8	0	4	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A1	bin.unbinned	NODE_5496_length_11428_cov_6.234767||full	1	dsDNAphage	11428	2	38.9	0	11428	No	NA	17	3	0	Low-quality	Genome-fragment	24.91	AAI-based (medium-confidence)	0	1	NA
A1	bin.024	NODE_5482_length_11439_cov_16.661279||full	0.847	dsDNAphage	11418	0	75	0	11418	No	NA	16	1	0	Low-quality	Genome-fragment	10.85	AAI-based (medium-confidence)	0	1	NA
B2	bin.039	NODE_7075_length_13292_cov_3.928156||full	0.82	dsDNAphage	11416	0	7.7	3.8	11416	No	NA	25	1	1	Low-quality	Genome-fragment	6.37	HMM-based (lower-bound)	0	1	NA
C2	bin.102	NODE_10256_length_11415_cov_6.589349||full	0.907	dsDNAphage	11413	0	53.3	0	11413	No	NA	15	4	0	Low-quality	Genome-fragment	3.96	AAI-based (medium-confidence)	0	1	NA
B1	bin.unbinned	NODE_909_length_11593_cov_5.603051||full	1	dsDNAphage	11412	4	88.9	0	11412	No	NA	9	6	0	Low-quality	Genome-fragment	11.06	HMM-based (lower-bound)	0	1.01	NA
B2	bin.unbinned	NODE_8838_length_11414_cov_3.435162||full	0.913	dsDNAphage	11412	0	26.1	0	11412	No	NA	24	1	1	Low-quality	Genome-fragment	11.22	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8835_length_11415_cov_3.371303||full	0.987	dsDNAphage	11411	4	53.3	20	11411	No	NA	15	4	0	Low-quality	Genome-fragment	12.1	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8848_length_11407_cov_2.964676||full	0.973	dsDNAphage	11405	1	8.3	0	11405	No	NA	12	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
C2	bin.unbinned	NODE_10266_length_11407_cov_3.120595||full	1	dsDNAphage	11405	1	54.5	0	11405	No	NA	11	4	0	Low-quality	Genome-fragment	18.57	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_5779_length_11527_cov_4.083246||full	0.973	dsDNAphage	11403	1	63.6	9.1	11403	No	NA	11	2	1	Low-quality	Genome-fragment	23.16	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8828_length_11420_cov_5.003080||full	0.867	dsDNAphage	11403	0	8.3	4.2	11403	No	NA	24	1	1	Low-quality	Genome-fragment	9.15	AAI-based (high-confidence)	0	1	NA
A3	bin.026	NODE_5851_length_11454_cov_3.344153||full	0.76	dsDNAphage	11399	0	29.4	5.9	11399	No	NA	17	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A1	bin.056	NODE_5477_length_11450_cov_6.700483||full	0.8	dsDNAphage	11398	1	33.3	22.2	11398	No	NA	9	0	5	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_8851_length_11402_cov_3.729003||full	0.987	dsDNAphage	11398	1	19	4.8	11398	No	NA	21	1	1	Low-quality	Genome-fragment	17.05	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8761_length_11468_cov_4.280908||full	0.933	dsDNAphage	11397	0	7.7	0	11397	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_8871_length_11390_cov_4.491398||full	0.92	dsDNAphage	11389	2	29.4	17.6	11389	No	NA	17	2	1	Low-quality	Genome-fragment	9.76	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8758_length_11469_cov_4.375241||full	0.993	dsDNAphage	11387	1	41.7	0	11387	No	NA	12	4	0	Low-quality	Genome-fragment	6.14	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8878_length_11387_cov_3.639428||full	0.8	dsDNAphage	11385	0	4	0	11385	No	NA	23	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A1	bin.unbinned	NODE_5367_length_11605_cov_6.067965||full	1	dsDNAphage	11382	3	58.8	0	11382	No	NA	17	2	0	Low-quality	Genome-fragment	14.51	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8814_length_11429_cov_5.374099||full	0.713	dsDNAphage	11380	0	26.3	0	11380	No	NA	19	1	0	Low-quality	Genome-fragment	7.18	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8890_length_11378_cov_4.200212||full	0.987	dsDNAphage	11378	1	35.3	0	11378	No	NA	17	4	0	Low-quality	Genome-fragment	6.4	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8874_length_11388_cov_25.448690||full	0.813	dsDNAphage	11376	0	9.1	0	11376	No	NA	22	2	0	Low-quality	Genome-fragment	9.95	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_8832_length_11418_cov_5.661709||full	1	dsDNAphage	11374	2	25	0	11374	No	NA	20	3	0	Low-quality	Genome-fragment	9.81	HMM-based (lower-bound)	0	1	NA
C2	bin.011	NODE_10303_length_11375_cov_3.838163||full	0.607	dsDNAphage	11373	0	31.2	6.2	11373	No	NA	16	0	0	Low-quality	Genome-fragment	2.15	AAI-based (medium-confidence)	0	1	no viral genes detected
B2	bin.unbinned	NODE_8907_length_11367_cov_3.810644||full	0.713	dsDNAphage	11365	0	12.5	6.2	11365	No	NA	16	1	0	Low-quality	Genome-fragment	17.54	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_10316_length_11367_cov_22.414781||full	0.933	dsDNAphage	11365	0	30.4	0	11365	No	NA	23	7	1	Low-quality	Genome-fragment	25.75	AAI-based (high-confidence)	0	1	NA
A1	bin.023	NODE_5554_length_11367_cov_3.342380||full	1	dsDNAphage	11363	1	20	0	11363	No	NA	35	4	1	Low-quality	Genome-fragment	13.51	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_9929_length_11696_cov_9.193884||full	0.867	dsDNAphage	11361	0	4.2	0	11361	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0	1.01	no viral genes detected
A1	bin.060	NODE_5562_length_11360_cov_4.288280||full	1	dsDNAphage	11358	3	31.2	0	11358	No	NA	16	5	0	Low-quality	Genome-fragment	18.36	AAI-based (medium-confidence)	0	1	NA
B2	bin.158	NODE_8921_length_11353_cov_8.511595||full	0.847	dsDNAphage	11350	1	17.6	0	11350	No	NA	17	2	2	Low-quality	Genome-fragment	7.34	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_8809_length_11432_cov_8.300870||full	0.94	dsDNAphage	11343	0	28	4	11343	No	NA	26	2	0	Low-quality	Genome-fragment	13.46	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10076_length_11563_cov_4.104797||full	1	dsDNAphage	11337	2	20	0	11337	No	NA	16	2	0	Low-quality	Genome-fragment	16.93	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_5680_length_11635_cov_17.242173||full	0.607	dsDNAphage	11334	0	11.1	5.6	11334	No	NA	18	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_8936_length_11337_cov_4.774331||full	0.967	dsDNAphage	11334	1	6.9	3.4	11334	No	NA	29	2	1	Low-quality	Genome-fragment	2.6	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10364_length_11327_cov_5.121185||full	0.933	dsDNAphage	11327	0	11.1	3.7	11327	No	NA	27	1	0	Low-quality	Genome-fragment	15.08	HMM-based (lower-bound)	0	1	NA
A3	bin.034	NODE_5963_length_11326_cov_6.078431||full	0.52	dsDNAphage	11323	2	18.2	27.3	11323	No	NA	11	0	4	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A3	bin.ubinned	NODE_5966_length_11322_cov_4.034792||full	0.993	dsDNAphage	11320	2	23.5	0	11320	No	NA	17	2	0	Low-quality	Genome-fragment	7.43	HMM-based (lower-bound)	0	1	NA
B2	bin.125	NODE_8774_length_11460_cov_5.140815||full	0.987	dsDNAphage	11309	1	28.6	0	11309	No	NA	14	3	0	Low-quality	Genome-fragment	11.33	AAI-based (high-confidence)	0	1	NA
B2	bin.042	NODE_8826_length_11422_cov_3.361661||full	0.953	dsDNAphage	11303	0	41.7	0	11303	No	NA	12	0	0	Low-quality	Genome-fragment	17.73	AAI-based (medium-confidence)	0	1	no viral genes detected
C2	bin.047	NODE_10306_length_11372_cov_3.909605||full	0.813	dsDNAphage	11300	1	23.1	0	11300	No	NA	13	1	1	Low-quality	Genome-fragment	26.22	AAI-based (medium-confidence)	0	1	NA
C2	bin.059	NODE_10421_length_11284_cov_3.436815||full	0.773	dsDNAphage	11284	0	53.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.unbinned	NODE_10423_length_11282_cov_4.807874||full	0.947	dsDNAphage	11281	0	34.8	0	11281	No	NA	23	2	1	Low-quality	Genome-fragment	7.17	HMM-based (lower-bound)	0	1	NA
C2	bin.047	NODE_10385_length_11309_cov_3.054647||full	0.893	dsDNAphage	11280	0	16.7	0	11280	No	NA	24	2	1	Low-quality	Genome-fragment	16.58	AAI-based (medium-confidence)	0	1	NA
B2	bin.039	NODE_8818_length_11427_cov_4.149314||full	0.787	dsDNAphage	11277	0	16	8	11277	No	NA	24	0	3	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A3	bin.070	NODE_6006_length_11278_cov_4.238439||full	0.82	dsDNAphage	11276	0	30	0	11276	No	NA	10	1	0	Low-quality	Genome-fragment	16.57	AAI-based (high-confidence)	0	1	NA
C2	bin.004	NODE_10428_length_11279_cov_4.125980||full	0.94	dsDNAphage	11276	0	65	0	11276	No	NA	20	7	0	Low-quality	Genome-fragment	6.32	AAI-based (high-confidence)	0	1	NA
B2	bin.147	NODE_8987_length_11277_cov_6.756193||full	0.993	dsDNAphage	11274	1	58.8	0	11274	No	NA	17	6	1	Low-quality	Genome-fragment	3.11	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_6008_length_11277_cov_3.760827||full	0.98	dsDNAphage	11273	1	21.4	0	11273	No	NA	14	0	0	Not-determined	Genome-fragment	NA	NA	0	1.01	no viral genes detected
A3	bin.070	NODE_5974_length_11318_cov_5.089497||full	0.893	dsDNAphage	11268	0	9.5	0	11268	No	NA	22	1	1	Low-quality	Genome-fragment	6.29	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9001_length_11265_cov_2.836753||full	1	dsDNAphage	11264	2	20.8	0	11264	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_8969_length_11299_cov_3.883138||full	0.933	dsDNAphage	11259	0	26.9	0	11259	No	NA	26	1	1	Low-quality	Genome-fragment	8.11	HMM-based (lower-bound)	0	1	NA
A3	bin.034	NODE_6028_length_11257_cov_5.259597||full	0.807	dsDNAphage	11253	3	57.1	14.3	11253	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0	1.02	no viral genes detected
C2	bin.047	NODE_10464_length_11249_cov_5.733607||full	0.993	dsDNAphage	11248	3	50	0	11248	No	NA	14	6	0	Low-quality	Genome-fragment	27.69	AAI-based (high-confidence)	0	1	NA
A3	bin.087	NODE_6041_length_11244_cov_3.762535||full	1	dsDNAphage	11243	1	15	0	11243	No	NA	20	1	1	Low-quality	Genome-fragment	18.2	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10473_length_11243_cov_2.796836||full	1	dsDNAphage	11243	2	18.8	0	11243	No	NA	16	3	1	Low-quality	Genome-fragment	5.06	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9025_length_11244_cov_5.239968||full	0.993	dsDNAphage	11241	1	19	0	11241	No	NA	21	3	0	Low-quality	Genome-fragment	11.15	HMM-based (lower-bound)	0	1	NA
A3	bin.098	NODE_6047_length_11239_cov_4.715129||full	0.987	dsDNAphage	11237	1	20	5	11237	No	NA	20	4	1	Low-quality	Genome-fragment	11.44	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_9031_length_11238_cov_3.295538||full	1	dsDNAphage	11235	10	76.5	0	11235	No	NA	17	13	0	Low-quality	Genome-fragment	23.79	AAI-based (medium-confidence)	0	1	NA
C2	bin.083	NODE_10479_length_11238_cov_4.593132||full	0.62	dsDNAphage	11235	0	23.5	0	11235	No	NA	17	0	4	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_8746_length_11477_cov_9.650849||full	0.587	dsDNAphage	11233	0	30.8	0	11233	No	NA	13	0	0	Low-quality	Genome-fragment	8.83	AAI-based (medium-confidence)	0	1	no viral genes detected
C2	bin.unbinned	NODE_10299_length_11376_cov_4.913524||full	1	dsDNAphage	11231	1	29.4	0	11231	No	NA	17	2	0	Low-quality	Genome-fragment	24.62	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_8763_length_11467_cov_8.501928||full	0.993	dsDNAphage	11219	5	42.9	0	11219	No	NA	14	5	0	Low-quality	Genome-fragment	11.59	AAI-based (high-confidence)	0	1	NA
A3	bin.ubinned	NODE_6063_length_11218_cov_4.088059||full	1	dsDNAphage	11217	1	41.7	0	11217	No	NA	10	2	0	Low-quality	Genome-fragment	17.11	HMM-based (lower-bound)	0	1	NA
A3	bin.095	NODE_5830_length_11471_cov_4.519008||full	0.54	dsDNAphage	11208	2	18.2	18.2	11208	No	NA	11	0	6	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_9058_length_11206_cov_11.282396||full	0.813	dsDNAphage	11206	0	7.7	0	11206	No	NA	25	2	0	Low-quality	Genome-fragment	7.07	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_6081_length_11205_cov_9.285561||full	0.953	dsDNAphage	11205	1	13.6	9.1	11205	No	NA	22	1	1	Low-quality	Genome-fragment	14.17	HMM-based (lower-bound)	0	1	NA
C1	bin.unbinned	NODE_1012_length_11251_cov_3.619864||full	0.98	dsDNAphage	11203	0	45.5	0	11203	No	NA	22	10	0	Low-quality	Genome-fragment	23.19	AAI-based (high-confidence)	0	1	NA
B1	bin.001	NODE_948_length_11322_cov_4.573445||full	0.98	dsDNAphage	11201	0	13.3	0	11201	No	NA	31	1	0	Low-quality	Genome-fragment	6.57	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10444_length_11266_cov_8.152529||full	0.833	dsDNAphage	11201	0	13.3	0	11201	No	NA	14	0	0	Low-quality	Genome-fragment	16.5	AAI-based (medium-confidence)	0	1	no viral genes detected
B2	bin.unbinned	NODE_9002_length_11265_cov_2.805709||full	1	dsDNAphage	11196	1	47.6	0	11196	No	NA	21	7	0	Low-quality	Genome-fragment	22.74	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_7978_length_12230_cov_3.370431||full	1	dsDNAphage	11191	2	31.6	0	11191	No	NA	19	3	0	Low-quality	Genome-fragment	22.22	HMM-based (lower-bound)	0	1	NA
B1	bin.unbinned	NODE_967_length_11193_cov_4.264859||full	0.98	dsDNAphage	11190	0	31.8	4.5	11190	No	NA	22	4	0	Low-quality	Genome-fragment	8.61	AAI-based (medium-confidence)	0	1	NA
C2	bin.unbinned	NODE_10559_length_11182_cov_6.023367||full	1	dsDNAphage	11179	2	15.4	0	11179	No	NA	25	3	0	Low-quality	Genome-fragment	11.41	HMM-based (lower-bound)	0	1	NA
C2	bin.047	NODE_10567_length_11178_cov_8.350085||full	1	dsDNAphage	11174	2	41.7	0	11174	No	NA	12	1	0	Low-quality	Genome-fragment	20.44	AAI-based (high-confidence)	0	1	NA
A1	bin.023	NODE_5721_length_11174_cov_4.082292||full	1	dsDNAphage	11171	0	12.5	0	11171	No	NA	32	1	0	Low-quality	Genome-fragment	8.2	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9094_length_11173_cov_4.979313||full	0.967	dsDNAphage	11171	0	17.6	0	11171	No	NA	17	1	0	Low-quality	Genome-fragment	10.36	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_6127_length_11167_cov_3.791937||full	1	dsDNAphage	11164	1	20	0	11164	No	NA	15	4	0	Low-quality	Genome-fragment	12.37	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_9103_length_11163_cov_5.070580||full	1	dsDNAphage	11160	2	40	0	11160	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A3	bin.ubinned	NODE_5978_length_11315_cov_5.045115||full	0.667	dsDNAphage	11157	3	30	30	11157	No	NA	10	0	3	Low-quality	Genome-fragment	27.09	AAI-based (medium-confidence)	0	1.03	no viral genes detected
B2	bin.042	NODE_5906_length_15071_cov_6.457645||0_partial	0.98	dsDNAphage	11154	1	21.4	7.1	11154	No	NA	14	2	1	Low-quality	Genome-fragment	14.39	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10438_length_11271_cov_3.606544||full	0.853	dsDNAphage	11154	0	11.1	0	11154	No	NA	19	0	1	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
B2	bin.unbinned	NODE_9027_length_11243_cov_3.331516||full	0.82	dsDNAphage	11153	0	22.2	5.6	11153	No	NA	17	2	1	Low-quality	Genome-fragment	5.59	HMM-based (lower-bound)	0	1	NA
B2	bin.153	NODE_8145_length_12062_cov_4.415174||full	0.767	dsDNAphage	11148	0	21.7	4.3	11148	No	NA	23	0	1	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A3	bin.ubinned	NODE_5935_length_11353_cov_7.681360||full	0.593	dsDNAphage	11143	0	12.5	0	11143	No	NA	16	1	1	Low-quality	Genome-fragment	26.51	HMM-based (lower-bound)	0	1	NA
C2	bin.137	NODE_10488_length_11235_cov_5.637299||full	1	dsDNAphage	11141	2	76.9	0	11141	No	NA	13	4	1	Low-quality	Genome-fragment	18.29	AAI-based (high-confidence)	0	1	NA
A3	bin.ubinned	NODE_6154_length_11139_cov_3.369722||full	0.713	dsDNAphage	11135	0	33.3	0	11135	No	NA	16	2	0	Low-quality	Genome-fragment	11.5	AAI-based (medium-confidence)	0	1	NA
A3	bin.036	NODE_6160_length_11136_cov_4.491382||full	0.747	dsDNAphage	11132	0	43.8	6.2	11132	No	NA	16	0	2	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A3	bin.ubinned	NODE_6078_length_11207_cov_4.076489||full	0.887	dsDNAphage	11123	0	4.8	0	11123	No	NA	21	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
C2	bin.047	NODE_10643_length_11122_cov_5.531490||full	0.96	dsDNAphage	11120	0	23.1	0	11120	No	NA	26	3	0	Low-quality	Genome-fragment	18.46	AAI-based (medium-confidence)	0	1	NA
A1	bin.002	NODE_5761_length_11119_cov_6.312816||full	0.98	dsDNAphage	11118	2	71.4	0	11118	No	NA	7	3	0	Low-quality	Genome-fragment	14.62	AAI-based (medium-confidence)	0	1	NA
B2	bin.042	NODE_9155_length_11117_cov_4.858344||full	0.953	dsDNAphage	11116	1	21.1	10.5	11116	No	NA	19	2	0	Low-quality	Genome-fragment	27.94	AAI-based (high-confidence)	0	1	NA
C2	bin.unbinned	NODE_10505_length_11219_cov_7.313508||full	1	dsDNAphage	11115	2	35.7	0	11115	No	NA	14	1	0	Low-quality	Genome-fragment	28.37	AAI-based (high-confidence)	0	1	NA
B2	bin.unbinned	NODE_9166_length_11109_cov_4.771214||full	0.94	dsDNAphage	11106	0	13	0	11106	No	NA	24	3	0	Low-quality	Genome-fragment	11.35	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10667_length_11106_cov_3.609266||full	0.607	dsDNAphage	11105	0	21.4	7.1	11105	No	NA	14	1	0	Low-quality	Genome-fragment	9.78	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9170_length_11105_cov_4.152851||full	0.533	dsDNAphage	11102	0	53.8	7.7	11102	No	NA	13	1	2	Low-quality	Genome-fragment	6.64	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10557_length_11184_cov_7.760176||full	0.973	dsDNAphage	11095	0	7.7	0	11095	No	NA	26	2	0	Low-quality	Genome-fragment	13.01	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10607_length_11151_cov_2.992790||full	0.94	dsDNAphage	11095	0	26.7	0	11095	No	NA	30	6	0	Low-quality	Genome-fragment	11.7	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_6197_length_11097_cov_3.252038||full	1	dsDNAphage	11094	2	31.6	0	11094	No	NA	19	3	0	Low-quality	Genome-fragment	7.72	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9104_length_11162_cov_3.753669||full	0.98	dsDNAphage	11090	1	12.5	4.2	11090	No	NA	20	1	2	Low-quality	Genome-fragment	4.46	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10683_length_11094_cov_6.805689||full	0.973	dsDNAphage	11090	1	10	0	11090	No	NA	20	1	0	Low-quality	Genome-fragment	5.93	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_6210_length_11084_cov_3.195575||full	0.987	dsDNAphage	11084	1	46.2	0	11084	No	NA	13	3	1	Low-quality	Genome-fragment	14.44	HMM-based (lower-bound)	0	1	NA
A3	bin.ubinned	NODE_6218_length_11076_cov_3.421468||full	0.993	dsDNAphage	11073	1	50	7.1	11073	No	NA	14	2	0	Low-quality	Genome-fragment	25.66	AAI-based (medium-confidence)	0	1	NA
C2	bin.012	NODE_10651_length_11116_cov_8.456107||full	0.98	dsDNAphage	11070	0	8.8	0	11070	No	NA	34	1	0	Low-quality	Genome-fragment	4.56	HMM-based (lower-bound)	0	1	NA
B2	bin.042	NODE_9200_length_11071_cov_4.771151||full	0.993	dsDNAphage	11068	1	30.4	0	11068	No	NA	23	2	0	Low-quality	Genome-fragment	8.77	HMM-based (lower-bound)	0	1	NA
A1	bin.020	NODE_5050_length_12090_cov_10.148400||full	0.907	dsDNAphage	11067	1	27.3	9.1	11067	No	NA	11	0	6	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
A1	bin.009	NODE_122_length_80229_cov_14.487527||0_partial	0.893	dsDNAphage	11061	1	3.8	3.8	11061	No	NA	14	1	2	Low-quality	Genome-fragment	16.55	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9209_length_11060_cov_2.932485||full	1	dsDNAphage	11060	2	28.6	0	11060	No	NA	15	2	0	Low-quality	Genome-fragment	6.37	AAI-based (medium-confidence)	0	1	NA
B1	bin.unbinned	NODE_996_length_11059_cov_3.384224||full	1	dsDNAphage	11056	2	45.5	0	11056	No	NA	11	3	0	Low-quality	Genome-fragment	22	AAI-based (medium-confidence)	0	1	NA
A1	bin.023	NODE_5813_length_11055_cov_4.355636||full	0.607	dsDNAphage	11053	0	15.8	5.3	11053	No	NA	19	1	1	Low-quality	Genome-fragment	9.84	HMM-based (lower-bound)	0	1	NA
B2	bin.unbinned	NODE_9174_length_11100_cov_2.836940||full	0.813	dsDNAphage	11051	0	22.2	0	11051	No	NA	9	0	0	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected
C2	bin.unbinned	NODE_10743_length_11053_cov_5.768685||full	0.86	dsDNAphage	11051	0	52.6	0	11051	No	NA	19	4	1	Low-quality	Genome-fragment	6	HMM-based (lower-bound)	0	1.01	NA
C1	bin.unbinned	NODE_931_length_12131_cov_4.875704||full	0.987	dsDNAphage	11047	0	28.6	7.1	11047	No	NA	28	1	1	Low-quality	Genome-fragment	18.43	AAI-based (medium-confidence)	0	1	NA
A3	bin.ubinned	NODE_6254_length_11040_cov_3.684934||full	0.98	dsDNAphage	11037	3	46.2	0	11037	No	NA	14	5	0	Low-quality	Genome-fragment	26.51	AAI-based (medium-confidence)	0	1	NA
B2	bin.unbinned	NODE_8892_length_11377_cov_3.941353||full	1	dsDNAphage	11028	2	37.5	6.2	11028	Yes	7316	17	3	2	Low-quality	Genome-fragment	18.14	AAI-based (medium-confidence)	33.66	1	NA
B2	bin.unbinned	NODE_9262_length_11025_cov_5.081495||full	0.927	dsDNAphage	11024	0	25	4.2	11024	No	NA	24	4	1	Low-quality	Genome-fragment	5.51	HMM-based (lower-bound)	0	1	NA
C2	bin.unbinned	NODE_10460_length_11253_cov_3.520807||full	0.987	dsDNAphage	11024	3	40	0	11024	No	NA	15	4	1	Low-quality	Genome-fragment	9.61	AAI-based (high-confidence)	0	1	NA
C2	bin.unbinned	NODE_10199_length_11460_cov_3.683209||full	0.987	dsDNAphage	11023	1	18.2	4.5	11023	No	NA	22	2	0	Low-quality	Genome-fragment	8.33	HMM-based (lower-bound)	0	1	NA
C2	bin.047	NODE_10786_length_11023_cov_4.799143||full	0.933	dsDNAphage	11022	0	12	4	11022	No	NA	25	1	1	Low-quality	Genome-fragment	10.72	HMM-based (lower-bound)	0	1	NA
