seqname	dsDNAphage	NCLDV	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
Contig117022926||full	0.173	0.84	0.007	0.78	0.84	NCLDV	6715	0	25	0
Contig131255920||full	0.467	0.527	0.233	0.313	0.527	NCLDV	6715	0	75	0
Contig149108902||full	0.713	0.333	0.007	0.033	0.713	dsDNAphage	6715	0	27.3	18.2
Contig82958103||full	0.78	0.5	0.02	0.127	0.78	dsDNAphage	6714	0	25	0
Contig123490961||full	1	0.067	0.267	0.113	1	dsDNAphage	6714	1	20	0
Contig140383959||full	0.62	0.033	0.26	0.567	0.62	dsDNAphage	6714	0	50	0
Contig156105494||full	0.307	0.7	0.013	0.94	0.94	lavidaviridae	6713	0	14.3	0
Contig47670377||full	0.16	0.693	0.027	0.08	0.693	NCLDV	6712	0	50	16.7
Contig133744266||full	0.94	0.633	0.407	0.353	0.94	dsDNAphage	6712	2	38.5	0
Contig3226637||full	0.727	0.827	0.667	0.207	0.827	NCLDV	6710	0	57.1	0
Contig144929190||full	0.053	0.673	0	0.047	0.673	NCLDV	6710	0	25	0
Contig92645028||full	0.207	0.207	0	0.567	0.567	lavidaviridae	6709	0	37.5	12.5
Contig132614702||full	0.227	0.28	0.02	0.647	0.647	lavidaviridae	6709	0	25	0
Contig138406100||full	0.793	0.153	0.047	0.307	0.793	dsDNAphage	6709	0	62.5	12.5
Contig59333061||full	0.993	0.5	0.153	0.34	0.993	dsDNAphage	6708	1	16.7	0
Contig142157502||full	0.633	0.413	0.12	0.127	0.633	dsDNAphage	6708	0	50	12.5
Contig36803547||full	0.993	0.413	0.22	0.06	0.993	dsDNAphage	6707	0	5.9	0
Contig46094268||full	0.773	0.58	0.247	0.28	0.773	dsDNAphage	6707	0	20	0
Contig141880623||full	0.94	0.993	0.88	1	1	lavidaviridae	6707	0	55.6	0
Contig16829031||full	0.28	0.673	0.007	0.447	0.673	NCLDV	6706	0	40	0
Contig95529304||full	0.933	0.913	0.06	0.747	0.933	dsDNAphage	6706	1	42.9	0
Contig119843272||full	0.933	0.787	0.16	0.66	0.933	dsDNAphage	6705	0	35.7	0
Contig67955643||full	0.973	0.347	0.413	0.187	0.973	dsDNAphage	6704	0	30	0
Contig101151027||full	0.52	0.047	0	0.013	0.52	dsDNAphage	6704	0	20	10
Contig76298618||full	0.707	0.147	0.047	0.36	0.707	dsDNAphage	6703	0	16.7	0
Contig85007546||full	0.473	0.653	0.04	0.847	0.847	lavidaviridae	6703	0	33.3	0
Contig68510915||full	0.153	0.84	0.02	0.36	0.84	NCLDV	6702	0	20	0
Contig139405679||full	0.153	0.833	0	0.427	0.833	NCLDV	6701	0	12.5	0
Contig62948628||full	0.027	0.553	0	0	0.553	NCLDV	6700	0	20	0
Contig153847413||full	0.627	0.06	0	0.02	0.627	dsDNAphage	6699	1	28.6	14.3
Contig12875098||full	0.547	0.16	0.16	0.247	0.547	dsDNAphage	6698	0	71.4	0
Contig21600947||full	0.287	0.3	0.033	0.747	0.747	lavidaviridae	6697	0	40	0
Contig78778178||full	0.033	0.553	0	0.013	0.553	NCLDV	6697	0	16.7	0
Contig120308926||full	0.953	0.773	0.067	0.02	0.953	dsDNAphage	6697	1	12.5	6.2
Contig130239752||full	0.053	0.5	0	0.027	0.5	NCLDV	6696	0	33.3	16.7
Contig30061996||full	0.687	0.207	0.48	0.84	0.84	lavidaviridae	6695	0	30	0
Contig40817409||full	0.953	0.173	0.473	0.267	0.953	dsDNAphage	6694	0	28.6	0
Contig131698197||full	0.767	0.193	0.027	0.033	0.767	dsDNAphage	6694	0	28.6	7.1
Contig89560736||full	1	0.2	0.68	0.553	1	dsDNAphage	6693	2	55.6	0
Contig98752076||full	0.987	0.347	0.207	0.147	0.987	dsDNAphage	6693	1	23.1	0
Contig117147982||full	0.687	0.087	0	0.06	0.687	dsDNAphage	6692	0	36.4	9.1
Contig110077995||full	0.773	0.06	0.12	0.247	0.773	dsDNAphage	6691	0	13.3	0
Contig115465262||full	0.787	0.993	0.067	0.767	0.993	NCLDV	6689	0	28.6	0
Contig101181818||full	0.14	0.5	0.007	0.04	0.5	NCLDV	6688	0	12.5	0
Contig78700023||full	0.82	0.12	0.4	0.107	0.82	dsDNAphage	6687	0	54.5	0
Contig97351503||full	0.96	0.533	0.647	0.193	0.96	dsDNAphage	6687	2	15.4	0
Contig128273652||full	0.787	0.08	0.26	0.493	0.787	dsDNAphage	6686	0	30	0
Contig7049869||full	0.567	0.22	0.06	0.113	0.567	dsDNAphage	6684	0	30	0
Contig145070607||full	0.987	0.473	0.64	0.787	0.987	dsDNAphage	6684	1	37.5	0
Contig6933187||full	0.007	0.66	0	0	0.66	NCLDV	6683	0	20	0
Contig60641886||full	0.973	0.273	0.093	0.067	0.973	dsDNAphage	6683	0	7.1	0
Contig146939064||full	0.767	0.273	0.067	0.28	0.767	dsDNAphage	6683	0	14.3	0
Contig55772948||full	0.687	0.48	0.26	0.727	0.727	lavidaviridae	6682	0	44.4	0
Contig106206507||full	0.74	0.593	0.28	0.9	0.9	lavidaviridae	6682	0	40	0
Contig69186239||full	0.893	0.027	0.107	0.02	0.893	dsDNAphage	6681	0	14.3	7.1
Contig69956446||full	1	0.307	0.453	0.273	1	dsDNAphage	6681	3	66.7	0
Contig15968430||full	0.987	0.627	0.587	0.073	0.987	dsDNAphage	6680	2	40	0
Contig35763448||full	0.813	0.64	0.4	0.6	0.813	dsDNAphage	6680	0	25	0
Contig38847838||full	0.973	0.14	0.08	0.393	0.973	dsDNAphage	6680	1	14.3	0
Contig32827099||full	0.98	0.333	0.787	0.267	0.98	dsDNAphage	6679	0	29.4	0
Contig112377589||full	0.06	0.653	0	0.16	0.653	NCLDV	6679	0	14.3	0
Contig117529012||full	0.627	0.227	0.14	0.913	0.913	lavidaviridae	6679	0	20	0
Contig154607312||full	0.993	0.24	0.707	0.22	0.993	dsDNAphage	6678	2	46.2	0
Contig102376509||full	0.333	0.507	0.04	0.547	0.547	lavidaviridae	6677	0	14.3	0
Contig132906460||full	0.2	0.713	0.16	0.373	0.713	NCLDV	6677	0	33.3	0
Contig150535615||full	0.327	0.667	0.007	0.593	0.667	NCLDV	6677	0	14.3	0
Contig57728253||full	0.353	0.387	0.14	0.547	0.547	lavidaviridae	6675	0	71.4	14.3
Contig116154847||full	0.327	1	0.287	0.987	1	NCLDV	6675	0	12.5	0
Contig128265181||full	0.24	0.62	0.027	0.36	0.62	NCLDV	6673	0	14.3	0
Contig136962938||full	0.96	0.833	0.4	0.587	0.96	dsDNAphage	6673	0	33.3	0
Contig145931180||full	0.933	0.14	0.467	0.28	0.933	dsDNAphage	6672	0	54.5	0
Contig114978710||full	0.86	0.16	0.453	0.833	0.86	dsDNAphage	6671	0	42.9	0
Contig44324062||full	0.46	0.567	0.047	0.287	0.567	NCLDV	6670	0	12.5	0
Contig155750422||full	0.84	0.167	0.293	0.5	0.84	dsDNAphage	6670	0	45.5	0
Contig16228232||full	0.98	0.14	0.64	0.387	0.98	dsDNAphage	6668	1	25	0
Contig89832530||full	0.853	0.18	0.08	0.253	0.853	dsDNAphage	6668	0	12.5	0
Contig3210619||full	0.993	0.653	0.407	0.347	0.993	dsDNAphage	6667	1	50	0
Contig141647300||full	0.987	0.187	0.127	0.027	0.987	dsDNAphage	6667	0	4.5	0
Contig141653512||full	0.06	0.573	0.013	0.253	0.573	NCLDV	6666	0	12.5	0
Contig24338780||full	0.773	0.153	0.153	0.687	0.773	dsDNAphage	6665	0	25	0
Contig44163267||full	1	0.293	0.493	0.66	1	dsDNAphage	6665	1	30	0
Contig115537465||full	0.26	0.6	0.033	0.513	0.6	NCLDV	6665	0	57.1	0
Contig133306958||full	0.62	0.747	0.06	0.287	0.747	NCLDV	6662	0	28.6	0
Contig146508769||full	0.76	0.293	0.093	0.273	0.76	dsDNAphage	6662	0	30.8	0
Contig14368891||full	0.8	0.047	0.193	0.08	0.8	dsDNAphage	6661	0	9.1	0
Contig61867588||full	0.773	0.133	0.22	0.967	0.967	lavidaviridae	6661	0	20	0
Contig77875052||full	0.793	0.22	0.147	0.093	0.793	dsDNAphage	6661	0	10	0
Contig86338104||full	0.92	0.14	0.04	0.013	0.92	dsDNAphage	6661	0	17.6	5.9
Contig811234||full	0.807	0.787	0.693	0.8	0.807	dsDNAphage	6660	0	36.4	0
Contig151791041||full	1	0.54	0.34	0.587	1	dsDNAphage	6660	2	66.7	0
Contig4785663||full	0.62	0.093	0.027	0.053	0.62	dsDNAphage	6659	0	22.2	11.1
Contig9232090||full	0.053	0.54	0	0.013	0.54	NCLDV	6659	0	25	0
Contig11527955||full	0.973	0.253	0.047	0.18	0.973	dsDNAphage	6659	2	71.4	14.3
Contig12529964||full	1	0.24	0.307	0.14	1	dsDNAphage	6658	1	18.2	0
Contig77892187||full	1	0.727	0.587	0.22	1	dsDNAphage	6658	2	37.5	0
Contig116868538||full	0.967	0.307	0.533	0.28	0.967	dsDNAphage	6658	0	27.3	0
Contig125428437||full	0.993	0.333	0.193	0.22	0.993	dsDNAphage	6658	3	75	0
Contig121904520||full	0.927	0.233	0.787	0.187	0.927	dsDNAphage	6657	0	54.5	0
Contig137134254||full	0.367	1	0.407	0.993	1	NCLDV	6657	0	33.3	0
Contig6062251||full	0.987	0.393	0.44	0.06	0.987	dsDNAphage	6655	0	20	0
Contig75945058||full	0.893	0.94	0.1	0.213	0.94	NCLDV	6655	0	41.7	0
Contig147031446||full	0.54	0.093	0.02	0.193	0.54	dsDNAphage	6655	0	12.5	0
Contig131819308||full	0.92	0.313	0.293	0.047	0.92	dsDNAphage	6654	0	7.1	0
Contig44086421||full	1	0.233	0.233	0.62	1	dsDNAphage	6653	1	25	0
Contig95250370||full	0.007	0.52	0	0.013	0.52	NCLDV	6653	0	14.3	0
Contig127194875||full	0.773	0.3	0.333	0.793	0.793	lavidaviridae	6653	0	50	0
Contig23270618||full	0.967	0.353	0.587	0.173	0.967	dsDNAphage	6652	0	37.5	0
Contig51840617||full	0.98	0.54	0.133	0.033	0.98	dsDNAphage	6652	0	5.6	0
Contig99558447||full	0.42	0.967	0.2	0.96	0.967	NCLDV	6651	0	25	0
Contig113787610||full	0.48	0.96	0.087	0.973	0.973	lavidaviridae	6651	0	18.2	0
Contig148892382||full	0.887	0.087	0.053	0.153	0.887	dsDNAphage	6651	0	21.4	7.1
Contig37166708||full	0.947	0.113	0.02	0.607	0.947	dsDNAphage	6649	1	16.7	0
Contig114872004||full	1	0.127	0.333	0.14	1	dsDNAphage	6649	0	12.5	0
Contig7678355||full	0.68	0.107	0.067	0.047	0.68	dsDNAphage	6648	0	12.5	0
Contig50831294||full	0.993	0.267	0.013	0.013	0.993	dsDNAphage	6648	2	25	8.3
Contig82944474||full	0.987	0.307	0.453	0.333	0.987	dsDNAphage	6648	1	22.2	0
Contig132134584||full	0.527	0.52	0.24	0.967	0.967	lavidaviridae	6648	0	12.5	0
Contig48577323||full	0.827	0.493	0.047	0.333	0.827	dsDNAphage	6646	1	30	0
Contig78257692||full	0.127	0.973	0.007	0.36	0.973	NCLDV	6646	0	14.3	0
Contig122514501||full	0.267	0.173	0.007	0.693	0.693	lavidaviridae	6646	0	25	0
Contig13548993||full	0.98	0.653	0.193	0.94	0.98	dsDNAphage	6645	3	36.4	0
Contig76720668||full	0.907	0.233	0.033	0.08	0.907	dsDNAphage	6645	2	50	16.7
Contig58272301||full	0.9	0.573	0.96	0.753	0.96	ssDNA	6643	0	66.7	0
Contig106495315||full	0.213	0.507	0	0.047	0.507	NCLDV	6643	0	28.6	0
Contig82266685||full	0.813	0.587	0.227	0.527	0.813	dsDNAphage	6642	0	8.3	0
Contig120404664||full	0.767	0.373	0.507	0.513	0.767	dsDNAphage	6642	0	37.5	0
Contig59849114||full	0.753	1	0.453	0.78	1	NCLDV	6641	0	66.7	0
Contig70876852||full	0.967	0.64	0.747	0.613	0.967	dsDNAphage	6641	1	66.7	0
Contig24398866||lt2gene	nan	nan	nan	nan	nan	dsDNAphage	6641	1	50	0
Contig7334418||full	1	0.32	0.293	0.173	1	dsDNAphage	6640	2	60	0
Contig44645444||full	1	0.427	0.38	0.42	1	dsDNAphage	6640	1	58.3	0
Contig45866318||full	0.993	0.36	0.033	0.073	0.993	dsDNAphage	6640	1	36.4	9.1
Contig104116712||full	0.647	0.753	0.553	0.62	0.753	NCLDV	6639	0	22.2	0
Contig112401309||full	0.167	0.333	0.007	0.893	0.893	lavidaviridae	6639	0	16.7	0
Contig134024182||full	1	0.347	0.653	0.667	1	dsDNAphage	6638	2	50	0
Contig18111677||full	0.647	0.14	0.32	0.5	0.647	dsDNAphage	6637	0	33.3	0
Contig58132449||full	0.787	0.76	0.007	0.46	0.787	dsDNAphage	6637	0	28.6	0
Contig83662264||full	0.973	0.46	0.9	0.893	0.973	dsDNAphage	6637	0	11.1	0
Contig120053298||full	1	0.513	0.693	0.427	1	dsDNAphage	6637	1	41.7	0
Contig144363940||full	0.38	0.653	0.04	0.4	0.653	NCLDV	6637	0	16.7	0
Contig30810685||full	0.053	0.8	0	0.1	0.8	NCLDV	6636	0	25	0
Contig139496311||full	0.32	0.5	0.06	0.28	0.5	NCLDV	6636	0	40	0
Contig147474494||full	0.74	0.327	0.007	0.013	0.74	dsDNAphage	6636	1	25	12.5
Contig19754307||full	0.013	0.553	0	0	0.553	NCLDV	6635	0	12.5	0
Contig63308861||full	0.153	0.173	0.007	0.553	0.553	lavidaviridae	6635	0	16.7	0
Contig101578711||full	0.813	0.013	0.14	0.1	0.813	dsDNAphage	6631	0	11.8	0
Contig91804894||full	1	0.18	0.807	0.353	1	dsDNAphage	6630	1	42.9	0
Contig122133758||full	0.84	0.613	0.62	0.24	0.84	dsDNAphage	6630	0	28.6	0
Contig124749546||full	0.027	0.8	0	0.007	0.8	NCLDV	6630	0	20	0
Contig92570192||full	0.68	0.807	0.267	0.8	0.807	NCLDV	6629	0	33.3	0
Contig122705848||full	0.88	0.387	0.027	0.467	0.88	dsDNAphage	6629	1	42.9	14.3
Contig55476380||lt2gene	nan	nan	nan	nan	nan	dsDNAphage	6629	1	100	0
Contig4748070||full	0.147	0.747	0	0.24	0.747	NCLDV	6628	0	28.6	14.3
Contig30684905||full	0.613	0.573	0.033	0.2	0.613	dsDNAphage	6628	0	12.5	0
Contig54716456||full	0	0.52	0	0	0.52	NCLDV	6627	0	14.3	0
Contig65264960||full	0.427	0.62	0.02	0.14	0.62	NCLDV	6627	0	14.3	0
Contig79241254||full	0.173	0.773	0	0.04	0.773	NCLDV	6627	0	10	0
Contig72071341||full	0.947	0.107	0.527	0.827	0.947	dsDNAphage	6626	0	40	0
Contig84530111||full	0.993	0.48	0.32	0.053	0.993	dsDNAphage	6626	0	10	0
Contig110036182||full	0.733	0.22	0.147	0.08	0.733	dsDNAphage	6626	0	6.2	0
Contig121642741||full	0.493	0.733	0.68	0.8	0.8	lavidaviridae	6626	0	27.3	0
Contig128893100||full	0.287	0.233	0.027	0.56	0.56	lavidaviridae	6626	0	33.3	0
Contig145525531||full	0.707	0.787	0.8	0.94	0.94	lavidaviridae	6626	0	100	0
Contig118095321||full	0.687	0.193	0.04	0.053	0.687	dsDNAphage	6624	0	15.4	7.7
Contig83456038||full	0.927	0.193	0.2	0.18	0.927	dsDNAphage	6623	0	11.1	0
Contig71144453||full	0.727	0.373	0.433	0.2	0.727	dsDNAphage	6621	0	33.3	0
Contig103099166||full	0.347	0.047	0.187	0.727	0.727	lavidaviridae	6621	0	33.3	0
Contig56259836||full	1	0.393	0.153	0.153	1	dsDNAphage	6620	2	33.3	0
Contig79790181||full	0.293	0.6	0	0.64	0.64	lavidaviridae	6620	0	14.3	0
Contig130366783||full	1	0.827	0.787	0.7	1	dsDNAphage	6620	2	30	0
Contig110310015||full	0.827	0.047	0.76	0.313	0.827	dsDNAphage	6618	0	15.4	0
Contig83208439||full	0.9	0.107	0.047	0.407	0.9	dsDNAphage	6617	1	40	0
Contig109961690||full	0.993	0.26	0.307	0.28	0.993	dsDNAphage	6617	1	20	0
Contig54280560||full	0.387	0.413	0.02	0.627	0.627	lavidaviridae	6616	0	12.5	0
Contig69701094||full	0.987	0.04	0	0.12	0.987	dsDNAphage	6616	2	37.5	12.5
Contig116101322||full	0.593	0.98	0.247	0.893	0.98	NCLDV	6616	0	30	0
Contig151036250||full	0.093	0.227	0.007	0.793	0.793	lavidaviridae	6616	0	20	0
Contig20020499||full	0.18	0.953	0.007	0.833	0.953	NCLDV	6615	0	28.6	14.3
Contig23439485||full	1	0.193	0.627	0.94	1	dsDNAphage	6615	4	62.5	0
Contig140598806||full	1	0.4	0.707	0.52	1	dsDNAphage	6615	2	27.3	0
Contig23120051||full	0.993	0.4	0.86	0.233	0.993	dsDNAphage	6614	0	36.4	0
Contig73859293||full	0.98	0.247	0.153	0.02	0.98	dsDNAphage	6614	0	15.4	0
Contig90039995||full	0.647	0.18	0.053	0.927	0.927	lavidaviridae	6613	0	20	0
Contig124835212||full	0.813	0.02	0	0.067	0.813	dsDNAphage	6613	1	42.9	28.6
Contig46450594||full	0.553	0.62	0.28	0.88	0.88	lavidaviridae	6612	0	66.7	0
Contig102721752||full	0.727	0.673	0.513	0.94	0.94	lavidaviridae	6612	0	66.7	0
Contig104010602||full	0.573	0.053	0.16	0.367	0.573	dsDNAphage	6612	0	20	0
Contig72082752||full	0.947	0.58	0.86	0.98	0.98	lavidaviridae	6611	0	37.5	0
Contig76110474||full	0.807	0.967	0.013	0.173	0.967	NCLDV	6611	0	33.3	0
Contig108879092||full	0.947	0.5	0.607	0.967	0.967	lavidaviridae	6611	0	50	0
Contig135455155||full	0.993	0.247	0.447	0.607	0.993	dsDNAphage	6611	2	62.5	0
Contig44529010||full	0.753	0.233	0.96	0.987	0.987	lavidaviridae	6609	0	33.3	0
Contig94379542||full	0.633	0.08	0	0.113	0.633	dsDNAphage	6608	1	14.3	0
Contig139084846||full	0.413	0.773	0.167	0.587	0.773	NCLDV	6608	0	60	0
Contig125878547||full	0.953	0.86	0.133	0.36	0.953	dsDNAphage	6606	1	16.7	0
Contig128259208||full	0.367	0.913	0.013	0.127	0.913	NCLDV	6605	0	33.3	16.7
Contig69332867||full	0.847	0.693	0.333	0.267	0.847	dsDNAphage	6604	0	22.2	0
Contig141659700||full	1	0.493	0.7	0.94	1	dsDNAphage	6604	1	75	0
Contig149787713||full	0.953	0.22	0.447	0.307	0.953	dsDNAphage	6604	0	23.1	0
Contig61873276||full	1	0.553	0.427	0.747	1	dsDNAphage	6603	3	83.3	0
Contig156198984||full	0.833	0.253	0.507	0.327	0.833	dsDNAphage	6603	0	20	0
Contig90595783||full	0.16	0.513	0.013	0.307	0.513	NCLDV	6602	0	16.7	0
Contig33436000||full	0.993	0.073	0.2	0.34	0.993	dsDNAphage	6601	3	55.6	0
Contig141089131||full	0.407	0.707	0.02	0.6	0.707	NCLDV	6601	0	37.5	0
Contig92436935||full	0.007	0.507	0	0	0.507	NCLDV	6600	0	14.3	0
Contig120751485||full	0.713	0.4	0.807	0.333	0.807	ssDNA	6600	0	27.3	0
Contig45140099||full	0.08	0.553	0	0.053	0.553	NCLDV	6599	0	25	0
Contig85335604||full	0.907	0.073	0	0	0.907	dsDNAphage	6599	1	25	12.5
Contig117275026||full	0.34	0.633	0.02	0.64	0.64	lavidaviridae	6599	0	40	0
Contig140034435||full	0.947	0.567	0.293	0.987	0.987	lavidaviridae	6599	0	33.3	0
Contig97730484||full	0.993	0.593	0.373	0.473	0.993	dsDNAphage	6598	1	60	0
Contig97742224||full	0.913	0.113	0.18	0.34	0.913	dsDNAphage	6596	0	33.3	0
Contig112874715||full	0.22	0.473	0.033	0.753	0.753	lavidaviridae	6596	0	25	12.5
Contig151883922||full	0.973	0.733	0.213	0.087	0.973	dsDNAphage	6596	0	25	0
Contig140291807||full	0.533	0.647	0.073	0.4	0.647	NCLDV	6595	0	33.3	0
Contig40105284||full	0.953	0.18	0.9	0.42	0.953	dsDNAphage	6593	0	27.3	0
Contig73870703||full	0.84	0.34	0.113	0.513	0.84	dsDNAphage	6592	0	14.3	0
Contig89358210||full	0.987	0.273	0.3	0.347	0.987	dsDNAphage	6592	2	44.4	0
Contig141463463||full	0.76	0.46	0.893	0.26	0.893	ssDNA	6592	0	62.5	0
Contig5268070||full	0.747	0.007	0.067	0	0.747	dsDNAphage	6591	0	18.2	9.1
Contig39123390||full	0.553	0.873	0.053	0.353	0.873	NCLDV	6591	0	40	0
Contig38086627||full	1	0.607	0.82	0.72	1	dsDNAphage	6590	3	100	0
Contig63237045||full	1	0.453	0.14	0.047	1	dsDNAphage	6590	2	20	0
Contig114273381||full	0.107	0.827	0	0.18	0.827	NCLDV	6590	0	14.3	0
Contig123664838||full	0.987	0.267	0.38	0.613	0.987	dsDNAphage	6590	1	28.6	0
Contig133015814||full	0.68	0.887	0.167	0.947	0.947	lavidaviridae	6590	0	50	0
Contig133325241||full	0.593	0.913	0.233	0.667	0.913	NCLDV	6590	0	60	0
Contig56883141||full	0.247	0.813	0.033	0.52	0.813	NCLDV	6588	0	33.3	0
Contig17429391||full	0.587	0.007	0	0.127	0.587	dsDNAphage	6587	0	22.2	11.1
Contig103163790||full	0.873	0.46	0.233	0.133	0.873	dsDNAphage	6587	0	30.8	0
Contig117684053||full	0	0.727	0	0.02	0.727	NCLDV	6587	0	20	0
Contig139808053||full	0.96	0.333	0.113	0.1	0.96	dsDNAphage	6586	0	25	0
Contig61929620||full	1	0.28	0.207	0.087	1	dsDNAphage	6585	0	11.8	0
Contig87989963||full	0.58	0.22	0.007	0.2	0.58	dsDNAphage	6585	1	20	0
Contig92291490||full	0.127	0.767	0.04	0.293	0.767	NCLDV	6585	0	60	0
Contig141463446||full	0.987	0.253	0.527	0.12	0.987	dsDNAphage	6585	0	21.1	0
Contig66479502||full	0.96	0.053	0	0.073	0.96	dsDNAphage	6584	1	15.4	7.7
Contig9882318||full	0.507	0.267	0.147	0.72	0.72	lavidaviridae	6583	0	57.1	0
Contig87134425||full	0.96	0.2	0.193	0.087	0.96	dsDNAphage	6583	0	13.6	0
Contig135961647||full	0.98	0.86	0.427	0.84	0.98	dsDNAphage	6582	2	30	0
Contig144714241||full	0.233	0.933	0.167	0.353	0.933	NCLDV	6582	0	50	0
Contig146146049||full	0.047	0.627	0.007	0	0.627	NCLDV	6582	0	25	0
Contig62694950||full	0.887	0.273	0.82	0.92	0.92	lavidaviridae	6581	0	72.7	0
Contig63044163||full	0.02	0.72	0	0.013	0.72	NCLDV	6579	0	25	0
Contig109256703||full	0.807	0.667	0.14	0.227	0.807	dsDNAphage	6579	0	38.5	0
Contig152659049||full	0.96	0.013	0.113	0.493	0.96	dsDNAphage	6579	2	20	10
Contig33764836||full	0.067	0.74	0	0.007	0.74	NCLDV	6578	0	16.7	0
Contig49745826||full	0.993	0.647	0.247	0.073	0.993	dsDNAphage	6578	1	13.6	0
Contig120512235||full	0.173	0.627	0	0.273	0.627	NCLDV	6578	0	16.7	0
Contig151222631||full	0.867	0.333	0.14	0.2	0.867	dsDNAphage	6578	0	33.3	6.7
Contig22742742||full	0.067	0.86	0.007	0.1	0.86	NCLDV	6577	0	11.1	0
Contig28819752||full	0.727	0.053	0.02	0.313	0.727	dsDNAphage	6577	1	28.6	0
Contig109622983||full	1	0.333	0.633	0.107	1	dsDNAphage	6577	0	20	0
Contig145248912||full	0.973	0.107	0.2	0.4	0.973	dsDNAphage	6577	2	44.4	0
Contig77229555||full	0.233	0.693	0.033	0.833	0.833	lavidaviridae	6576	0	16.7	0
Contig106306781||full	0.04	0.587	0	0.073	0.587	NCLDV	6575	0	12.5	0
Contig15757437||full	0.987	0.653	0.287	0.76	0.987	dsDNAphage	6574	1	40	0
Contig16071235||full	0.293	0.533	0.02	0.393	0.533	NCLDV	6574	0	25	0
Contig27003015||full	0.98	0.72	0.913	0.073	0.98	dsDNAphage	6574	0	20	0
Contig86413082||full	0.96	0.313	0.4	0.093	0.96	dsDNAphage	6573	0	35.3	0
Contig122634248||full	0.933	0.067	0.54	0.287	0.933	dsDNAphage	6573	0	33.3	0
Contig144328100||full	0.187	0.653	0	0.06	0.653	NCLDV	6573	0	28.6	14.3
Contig93293834||full	0.927	0.607	0.607	0.62	0.927	dsDNAphage	6572	0	22.2	0
Contig141708579||full	0.68	0.173	0.18	0.42	0.68	dsDNAphage	6572	0	14.3	0
Contig146012126||full	0.993	0.773	0.687	0.68	0.993	dsDNAphage	6571	3	55.6	0
Contig6625777||full	0.82	0.62	0.02	0.44	0.82	dsDNAphage	6570	1	25	0
Contig25626569||full	0.98	0.22	0.767	0.527	0.98	dsDNAphage	6570	1	16.7	0
Contig115263323||full	0.847	0.027	0.027	0.007	0.847	dsDNAphage	6570	2	25	25
Contig144333417||full	0.96	0.253	0.413	0.78	0.96	dsDNAphage	6570	1	50	0
Contig104210913||full	0.993	0.08	0.093	0.093	0.993	dsDNAphage	6569	0	7.1	0
Contig112306664||full	1	0.173	0.147	0.927	1	dsDNAphage	6569	1	40	0
Contig11226464||full	0.393	0.7	0.053	0.593	0.7	NCLDV	6567	0	33.3	0
Contig127093093||full	0.98	0.72	0.8	0.58	0.98	dsDNAphage	6565	2	16.7	0
Contig144431363||full	0.313	0.647	0	0.007	0.647	NCLDV	6565	0	25	0
Contig102847257||full	0.007	0.593	0	0.007	0.593	NCLDV	6564	0	20	0
Contig124629465||full	0.82	0.273	0.66	0.987	0.987	lavidaviridae	6564	0	20	0
Contig127152703||full	0.633	0.16	0.213	0.827	0.827	lavidaviridae	6564	0	16.7	0
Contig87481875||full	0.02	0.76	0	0.02	0.76	NCLDV	6563	0	20	0
Contig112833444||full	0.247	0.627	0.013	0.147	0.627	NCLDV	6562	0	12.5	0
Contig139587395||full	0.1	0.66	0.007	0.147	0.66	NCLDV	6562	0	14.3	0
Contig111000115||full	0.96	0.44	0.987	0.9	0.987	ssDNA	6561	0	50	0
Contig5037634||full	0.673	0.807	0.353	0.793	0.807	NCLDV	6559	0	16.7	0
Contig89028443||full	1	0.393	0.393	0.06	1	dsDNAphage	6559	1	26.7	0
Contig100050129||full	0.78	0.5	0.053	0.12	0.78	dsDNAphage	6559	2	40	0
Contig104140121||full	1	0.12	0.607	0.16	1	dsDNAphage	6559	1	20	0
Contig11538768||full	1	0.373	0.693	0.48	1	dsDNAphage	6558	2	55.6	0
Contig30783347||full	0.527	0.373	0.033	0.313	0.527	dsDNAphage	6558	0	30	0
Contig141457250||full	1	0.4	0.113	0.047	1	dsDNAphage	6558	2	17.6	0
Contig5000044||full	0.18	0.973	0.027	0.707	0.973	NCLDV	6557	0	9.1	0
Contig25686616||full	0.887	0.267	0.073	0.073	0.887	dsDNAphage	6557	0	5.9	0
Contig58929085||full	1	0.213	0.953	0.467	1	dsDNAphage	6557	1	60	0
Contig91179686||full	0.627	0.433	0.187	0.147	0.627	dsDNAphage	6557	0	28.6	0
Contig92171456||full	0.773	0.093	0.027	0.287	0.773	dsDNAphage	6557	1	20	0
Contig6062254||full	0.953	0.487	0.6	0.22	0.953	dsDNAphage	6556	0	25	0
Contig115109023||full	0.22	0.62	0.02	0.093	0.62	NCLDV	6555	0	37.5	0
Contig122101609||full	1	0.253	0.06	0.007	1	dsDNAphage	6555	1	25	6.2
Contig97376416||full	0.62	0.647	0.047	0.473	0.647	NCLDV	6554	0	46.2	7.7
Contig90751739||full	0.993	0.513	0.42	0.187	0.993	dsDNAphage	6553	0	21.1	0
Contig17728806||full	1	0.48	0.887	0.927	1	dsDNAphage	6552	4	62.5	0
Contig75785840||full	0.993	0.453	0.76	0.953	0.993	dsDNAphage	6550	2	40	0
Contig98098339||full	0.627	0.247	0.127	0.527	0.627	dsDNAphage	6550	0	20	0
