gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
Contig129454640||full_27	Contig129454640||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
Contig129454641||full_50	Contig129454641||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	M
Contig129454677||full_3	Contig129454677||full							3	MKF
Contig129509243||full_3	Contig129509243||full							1	MKF
Contig129522846||full_2	Contig129522846||full							2	MKF
Contig129522846||full_3	Contig129522846||full							2	MKF
Contig129671829||full_3	Contig129671829||full							3	MKF
Contig129671829||full_6	Contig129671829||full							3	MKF
Contig129671829||full_8	Contig129671829||full							3	MK
Contig129671829||full_10	Contig129671829||full	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R00226 R08648]	Organic Nitrogen	Amino Acid		Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	3	M
Contig129671829||full_10	Contig129671829||full	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R08648]	Organic Nitrogen	Amino Acid		Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	3	M
Contig129671829||full_11	Contig129671829||full							3	MK
Contig129671829||full_14	Contig129671829||full							3	MK
Contig129671829||full_16	Contig129671829||full							3	MK
Contig129671849||full_8	Contig129671849||full							3	MKF
Contig129768462||full_55	Contig129768462||full	GH5	GH5 endo-beta-1,4-glucanase / cellulase (EC 3.2.1.4); endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (EC 3.2.1.21); beta-mannosidase (EC 3.2.1.25); beta-glucosylceramidase (EC 3.2.1.45); glucan beta-1,3-glucosidase (EC 3.2.1.58); licheninase (EC 3.2.1.73); exo-beta-1,4-glucanase / cellodextrinase (EC 3.2.1.74); glucan endo-1,6-beta-glucosidase (EC 3.2.1.75); mannan endo-beta-1,4-mannosidase (EC 3.2.1.78); cellulose beta-1,4-cellobiosidase (EC 3.2.1.91); steryl beta-glucosidase (EC 3.2.1.104); endoglycoceramidase (EC 3.2.1.123); chitosanase (EC 3.2.1.132); beta-primeverosidase (EC 3.2.1.149); xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151); endo-beta-1,6-galactanase (EC 3.2.1.164); hesperidin 6-O-alpha-L-rhamnosyl-beta-glucosidase (EC 3.2.1.168); beta-1,3-mannanase (EC 3.2.1.-); arabinoxylan-specific endo-beta-1,4-xylanase (EC 3.2.1.-); mannan transglycosylase (EC 2.4.1.-); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-glucanase / laminarinase (EC 3.2.1.39); beta-N-acetylhexosaminidase (EC 3.2.1.52); chitosanase (EC 3.2.1.132); beta-D-galactofuranosidase (EC 3.2.1.146);	carbon utilization	CAZY	Amorphous Cellulose Backbone Cleavage, Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Chitin Oligo Cleavage	Glycoside Hydrolases	2	MKE
Contig129768464||full_35	Contig129768464||full							3	MKF
Contig129768465||full_7	Contig129768465||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	2	MF
Contig130131425||full_2	Contig130131425||full							3	MKF
Contig130131425||full_3	Contig130131425||full							3	MKF
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	carbon utilization	central carbon	glycolysis	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	carbon utilization	central carbon	glycolysis	Glycolysis, core module involving three-carbon compounds	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	carbon utilization	central carbon	glycolysis	Gluconeogenesis, oxaloacetate => fructose-6P	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] [RN:R01061]	carbon utilization	central carbon	glycolysis	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] [RN:R01061]	carbon utilization	central carbon	glycolysis	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.13 1.2.1.59 1.2.1.12] [RN:R01061 R01063]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	3	MK
Contig130167191||full_9	Contig130167191||full	K00134	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.13 1.2.1.59 1.2.1.12] [RN:R01061 R01063]	Energy	C1		Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	3	MK
Contig130167191||full_14	Contig130167191||full							3	MKF
Contig130269974||full_45	Contig130269974||full							1	MK
Contig130269974||full_50	Contig130269974||full							1	MK
Contig130269974||full_56	Contig130269974||full							1	MK
Contig130434093||full_3	Contig130434093||full	K11175	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] [RN:R04325]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
Contig130553796||full_116	Contig130553796||full							2	MK
Contig130553796||full_117	Contig130553796||full							2	MK
Contig130566370||full_17	Contig130566370||full	K02950	small subunit ribosomal protein S12	MISC	Information systems		Ribosome, bacteria	3	M
Contig130566370||full_17	Contig130566370||full	K02950	small subunit ribosomal protein S12	MISC	Information systems		Ribosome, archaea	3	M
Contig130795616||full_9	Contig130795616||full							3	MKF
Contig130838318||full_15	Contig130838318||full							3	MKF
Contig130916679||full_6	Contig130916679||full							3	MKF
Contig131025815||full_5	Contig131025815||full	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein	Transporters			ABC-2 type transport system	2	MF
Contig131032203||full_3	Contig131032203||full							3	MKF
Contig131113266||full_35	Contig131113266||full							2	MK
Contig131255920||full_2	Contig131255920||full	K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	carbon utilization	central carbon	TCA	Citrate cycle (TCA cycle, Krebs cycle)	3	MF
Contig131255920||full_2	Contig131255920||full	K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	carbon utilization	central carbon	TCA	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	3	MF
Contig131255920||full_2	Contig131255920||full	K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	carbon utilization	central carbon	glycolysis	Glyoxylate cycle	3	MF
Contig131255920||full_2	Contig131255920||full	K01647	citrate synthase [EC:2.3.3.1] [RN:R00351]	Organic Nitrogen	Amino Acid		Methylaspartate cycle	3	MF
Contig13128077||full_10	Contig13128077||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	MF
Contig131516192||full_9	Contig131516192||full							3	MK
Contig131552658||full_67	Contig131552658||full							2	MK
Contig131570840||full_33	Contig131570840||full							2	MKT
Contig131570840||full_59	Contig131570840||full							2	MKT
Contig131570840||full_62	Contig131570840||full							2	MKT
Contig131601248||full_59	Contig131601248||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	M
Contig131710232||full_5	Contig131710232||full							2	MKF
Contig131801186||full_7	Contig131801186||full							3	MKF
Contig131819304||full_3	Contig131819304||full							1	MKF
Contig131940473||full_5	Contig131940473||full							2	MKF
Contig131976774||full_24	Contig131976774||full							3	MKF
Contig132067770||full_11	Contig132067770||full							3	MK
Contig132079842||full_8	Contig132079842||full							3	MKF
Contig132110222||full_4	Contig132110222||full							3	MKF
Contig132142023||full_2	Contig132142023||full							3	MKF
Contig132152889||full_5	Contig132152889||full							2	MKF
Contig132152889||full_7	Contig132152889||full							1	MKF
Contig132304849||full_2	Contig132304849||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	MF
Contig132304849||full_5	Contig132304849||full							2	MKF
Contig132304849||full_6	Contig132304849||full							2	MKF
Contig132342469||full_4	Contig132342469||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
Contig132353393||full_19	Contig132353393||full							1	MK
Contig132353393||full_21	Contig132353393||full							1	MK
Contig132353393||full_22	Contig132353393||full							1	MK
Contig132353393||full_27	Contig132353393||full							1	MK
Contig132353393||full_33	Contig132353393||full							1	MK
Contig132414126||full_9	Contig132414126||full							3	MKF
Contig132529485||full_31	Contig132529485||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
Contig132645044||full_43	Contig132645044||full							2	MK
Contig132723955||full_43	Contig132723955||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	M
Contig132955443||full_3	Contig132955443||full							3	MKF
Contig133027361||full_41	Contig133027361||full							2	MK
Contig133027361||full_43	Contig133027361||full							2	MK
Contig133240228||full_4	Contig133240228||full	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKF
Contig133240228||full_4	Contig133240228||full	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKF
Contig133264350||full_9	Contig133264350||full							3	MKF
Contig13327397||full_27	Contig13327397||full	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	M
Contig133276610||full_4	Contig133276610||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
Contig133367609||full_89	Contig133367609||full	K02970	small subunit ribosomal protein S21	MISC	Information systems		Ribosome, bacteria	1	M
Contig133367609||full_103	Contig133367609||full							1	MK
Contig133367609||full_108	Contig133367609||full							1	MK
Contig133367609||full_144	Contig133367609||full							1	MK
Contig133367609||full_198	Contig133367609||full	S51	Catlytic type: Serine; hydrolyses Asp-Xaa dipeptides in which Xaa is not Glu, Asn or Gln; nutritional function in bacteria	Organic Nitrogen	Peptidase		Exopeptidases that hydrolyse alpha-aspartyl bonds	1	M
Contig133367609||full_230	Contig133367609||full	K01885	glutamyl-tRNA synthetase [EC:6.1.1.17] [RN:R05578]	MISC	Antibiotic Resistance		Siroheme biosynthesis, glutamate => siroheme	1	MK
Contig133367609||full_230	Contig133367609||full	K01885	EARS; glutamyl-tRNA synthetase [EC:6.1.1.17]	MISC	Information systems		Aminoacyl-tRNA biosynthesis, eukaryotes	1	MK
Contig133367609||full_245	Contig133367609||full							1	MK
Contig133367609||full_365	Contig133367609||full							1	MK
Contig133367609||full_378	Contig133367609||full							1	MK
Contig133367609||full_471	Contig133367609||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
Contig133367609||full_478	Contig133367609||full	K00088	IMP dehydrogenase [EC:1.1.1.205] [RN:R01130]	MISC	Information systems	Nucleotide	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	1	M
Contig133367609||full_493	Contig133367609||full	M24A	Catlytic type: Metallo; cleave the Met-Xaa (where Xaa is any amino acid) bond in the removal of the initiating N-terminal methionine from newly synthesized proteins; essential for the removal of the initiating methionine of many proteins, acting co-translationally in association with the ribosomes	Organic Nitrogen	Peptidase		Exopeptidases that require co-catalytic ions of cobalt or manganese	1	M
Contig133367609||full_499	Contig133367609||full							1	MK
Contig133367609||full_528	Contig133367609||full							1	MK
Contig133367609||full_531	Contig133367609||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	1	M
Contig133367609||full_532	Contig133367609||full							1	MK
Contig133367609||full_579	Contig133367609||full							1	MK
Contig13338178||full_4	Contig13338178||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
Contig133744273||full_9	Contig133744273||full							3	MKF
Contig133817999||full_2	Contig133817999||full							3	MKF
Contig13382142||full_18	Contig13382142||full							2	MKE
Contig13382142||full_21	Contig13382142||full	GH43	GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)	carbon utilization	CAZY	Xyloglucan Oligo Cleavage (Hemicellulose), Arabinan Backbone Cleavage, Arabinan Oligo Cleavage	Glycoside Hydrolases	2	MK
Contig133862002||full_7	Contig133862002||full							3	MKF
Contig133969196||full_3	Contig133969196||full	M01	Catlytic type: Metallo; each is capable of releasing a variety of residues; none have been shown to hydrolyse Xaa-Pro-bonds	Organic Nitrogen	Peptidase		Aminopeptidases	3	MTF
Contig133969196||full_5	Contig133969196||full							3	MKT
Contig133969196||full_7	Contig133969196||full							3	MKT
Contig133969196||full_13	Contig133969196||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MTF
Contig133969196||full_14	Contig133969196||full							3	MKTF
Contig133976427||full_7	Contig133976427||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
Contig134030242||full_2	Contig134030242||full							3	MKF
Contig134072797||full_6	Contig134072797||full	K00943	dTMP kinase [EC:2.7.4.9] [RN:R02094]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig134182334||full_4	Contig134182334||full	K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	MISC	ADO-CBL synthesis		Cobalamin biosynthesis, cobinamide => cobalamin	3	MKF
Contig134182334||full_4	Contig134182334||full	K00798	MMAB, pduO; cob(I)alamin adenosyltransferase [EC:2.5.1.17]	MISC	ADO-CBL synthesis		Cobalamin biosynthesis, cobinamide => cobalamin	3	MKF
Contig13424505||full_2	Contig13424505||full							3	MKF
Contig134316177||full_2	Contig134316177||full	K12340	tolC; outer membrane channel protein TolC	Transporters			alpha-Hemolysin/cyclolysin transport system	2	MF
Contig134316177||full_2	Contig134316177||full	K12340	tolC; outer membrane channel protein TolC	Transporters			RTX toxin transport system	2	MF
Contig134316191||full_3	Contig134316191||full							3	MKF
Contig134364665||full_12	Contig134364665||full	K02935	large subunit ribosomal protein L7/L12	MISC	Information systems		Ribosome, bacteria	3	MF
Contig134384448||full_5	Contig134384448||full							2	MKF
Contig134390224||full_2	Contig134390224||full							3	MKF
Contig134429416||full_20	Contig134429416||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
Contig13445988||full_10	Contig13445988||full							3	MKF
Contig134492864||full_38	Contig134492864||full							1	MK
Contig134535641||full_2	Contig134535641||full	K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	Energy	Electron transport Chain		NADH:quinone oxidoreductase, prokaryotes	3	MKF
Contig134579101||full_40	Contig134579101||full							3	MK
Contig134657361||full_10	Contig134657361||full							3	MKF
Contig134943251||full_45	Contig134943251||full							3	MK
Contig134943251||full_46	Contig134943251||full							3	MK
Contig134943251||full_63	Contig134943251||full	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10] [RN:R01870]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	3	MKF
Contig134943251||full_65	Contig134943251||full	K11175	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] [RN:R04325]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
Contig134943251||full_67	Contig134943251||full	K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] [RN:R04208]	MISC	Information systems	Nucleotide	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	3	MKF
Contig134943252||full_14	Contig134943252||full	K02970	small subunit ribosomal protein S21	MISC	Information systems		Ribosome, bacteria	3	M
Contig134943252||full_18	Contig134943252||full							3	MK
Contig134943255||full_4	Contig134943255||full							3	MKF
Contig134943255||full_10	Contig134943255||full	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
Contig134943256||full_3	Contig134943256||full	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
Contig134943259||full_5	Contig134943259||full							3	MKF
Contig134943261||full_26	Contig134943261||full							2	MKF
Contig134943280||full_2	Contig134943280||full							3	MKF
Contig135132033||full_3	Contig135132033||full							2	MKF
Contig135308533||full_4	Contig135308533||full							3	MKEF
Contig135308538||full_2	Contig135308538||full	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R00226 R08648]	Organic Nitrogen	Amino Acid		Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	3	MF
Contig135308538||full_2	Contig135308538||full	K01652	acetolactate synthase [EC:2.2.1.6] [RN:R08648]	Organic Nitrogen	Amino Acid		Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	3	MF
Contig135491713||full_5	Contig135491713||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig135577222||full_22	Contig135577222||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
Contig135595813||full_5	Contig135595813||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	2	MF
Contig135595813||full_12	Contig135595813||full							2	MK
Contig135845620||full_25	Contig135845620||full							2	MK
Contig135912628||full_16	Contig135912628||full							3	MKF
Contig13591559||full_16	Contig13591559||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
Contig136071458||full_6	Contig136071458||full							3	MKF
Contig136083728||full_4	Contig136083728||full							3	MKF
Contig136083748||full_2	Contig136083748||full							3	MKF
Contig136108002||full_16	Contig136108002||full							2	MK
Contig136266704||full_35	Contig136266704||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
Contig136266704||full_40	Contig136266704||full							3	MKF
Contig136266705||full_30	Contig136266705||full							3	MKF
Contig136266710||full_2	Contig136266710||full							3	MKF
Contig136315737||full_3	Contig136315737||full	M24A	Catlytic type: Metallo; cleave the Met-Xaa (where Xaa is any amino acid) bond in the removal of the initiating N-terminal methionine from newly synthesized proteins; essential for the removal of the initiating methionine of many proteins, acting co-translationally in association with the ribosomes	Organic Nitrogen	Peptidase		Exopeptidases that require co-catalytic ions of cobalt or manganese	3	MF
Contig136321706||full_5	Contig136321706||full							1	MKF
Contig136321710||full_8	Contig136321710||full							2	MKF
Contig136322188||full_9	Contig136322188||full							3	MKF
Contig136333918||full_6	Contig136333918||full							2	MKF
Contig136333919||full_8	Contig136333919||full							2	MKF
Contig136358367||full_3	Contig136358367||full							3	MKF
Contig136620972||full_54	Contig136620972||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
Contig136620972||full_112	Contig136620972||full	K00088	IMP dehydrogenase [EC:1.1.1.205] [RN:R01130]	MISC	Information systems	Nucleotide	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	1	MK
Contig136620972||full_189	Contig136620972||full							2	MK
Contig136669853||full_71	Contig136669853||full							1	MKT
Contig136669853||full_82	Contig136669853||full							1	MKET
Contig136756118||full_53	Contig136756118||full							2	MK
Contig136864994||full_50	Contig136864994||full							3	MKF
Contig136872201||full_22	Contig136872201||full							2	MK
Contig136877235||full_11	Contig136877235||full							2	MKF
Contig137066949||full_11	Contig137066949||full	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
Contig137256944||full_5	Contig137256944||full							2	MKF
Contig137287010||full_4	Contig137287010||full							3	MKF
Contig137335929||full_9	Contig137335929||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
Contig137752323||full_8	Contig137752323||full							3	MKF
Contig137760289||full_42	Contig137760289||full							2	MKT
